,soundID,date_run,songTitle,authorName,private,duration,album,scheduleSearchTime,numTimesUsed,artist_id,uniqueId,nickname,createTime,verified,secUid,relation,openFavorite,commentSetting,duetSetting,stitchSetting,privateAccount
1075,6954291107073133318,04/30/21,Originalton,YZ,False,20,,0,65,6.717651461067605e+18,youneszarou,YZ,1564046472.0,True,MS4wLjABAAAALP9H8t1_SVmfuAKXV1o9K8XqiaFLxm2ae-EJ5_AJcwogcI_d9btuf_fjbjFOMNpN,0.0,False,0.0,0.0,0.0,False
1076,6928444675363785478,04/30/21,my ordinary life by the living tombstone,read hell’s paradise or perish,False,17,,0,350900,6.847247182367737e+18,zxldyckk,read hell’s paradise or perish,1594249118.0,False,MS4wLjABAAAA9jK3qdAbIH_KpN7q1jzYRo-bdwyRC23-pgOLkACRLWpphL2rEPRRczgv3JkcRgbY,0.0,False,0.0,0.0,0.0,False
1077,6953228614871698182,04/30/21,sonido original,Republican,False,8,,0,12,6.917688374028617e+18,the.republican.official,Republican,1610650023.0,False,MS4wLjABAAAACvyJsZ6fT--sflFfBkyt_HlRD_pHBgahDlP_5E_uerVHJm9waekb71tfrlGTe3H6,0.0,False,0.0,0.0,0.0,False
1078,6840101190269668102,04/30/21,Bad Day,Dayton,False,13,,0,51700,6.790104412054849e+18,lifeofdayton,Dayton,1580944870.0,False,MS4wLjABAAAAaW3asPqTQ3aUer0Evkj1EC52oCCGzBPvzL_L6sVhgXAjdTUeKTYDv3LvBcLF9aJ8,0.0,False,0.0,0.0,0.0,False
1079,6899819316162693889,04/30/21,hopelessly devoted to you,elfixsounds,False,13,,0,12900,6.556572444026683e+18,elfixsounds,elfixsounds,1551983741.0,False,MS4wLjABAAAAYovHAJpjqcy_qQdCkSnQ0aTyWF4pI0qgjslWV_SrkmOtsTxfz6ngRO04OB6W4Kjd,0.0,False,0.0,0.0,0.0,False
1080,6912202463266801666,04/30/21,Sad Tenure Tunes (G Major),Eva Sanders,False,30,Quiet Piano Story - Bedtime Lullaby,0,46,,,,,,,,,,,,
1081,6872022650105890818,04/30/21,Chef Ramsey,Goodkid_nrc,False,60,Chef Ramsey,0,41,,,,,,,,,,,,
1082,6941435909082613762,04/30/21,Intoxicated,Martin Solveig & GTA,False,30,Intoxicated (Original Mix),0,235,,,,,,,,,,,,
1083,6946127858607622918,04/30/21,Originalton,YZ,False,17,,0,778,6.717651461067605e+18,youneszarou,YZ,1564046472.0,True,MS4wLjABAAAALP9H8t1_SVmfuAKXV1o9K8XqiaFLxm2ae-EJ5_AJcwogcI_d9btuf_fjbjFOMNpN,0.0,False,0.0,0.0,0.0,False
1084,6624126913629653766,04/30/21,Oh Nanana - Remix,dj 6rb & Bonde R300,False,13,Oh Nanana - Remix,0,2400000,,,,,,,,,,,,
1085,6952715214815070977,04/30/21,original sound - woodyandkleiny,woodyandkleiny,False,60,,0,1,6.935406650824607e+18,woodyandkleiny01,woodyandkleiny,1614775381.0,False,MS4wLjABAAAAJklUVGAwKxkRV39JhI4lkes_PgkQ4sqIzRNY00VJ-1VGiSv1UYRNotQk14QMbSss,0.0,False,0.0,0.0,0.0,False
1086,6476007017088879373,04/30/21,Up Down (Do This All Day) (feat. B.o.B),T-Pain,False,60,Happy Hour: The Greatest Hits,0,1700000,2.3161129494726246e+17,tpain,T-Pain,1495591991.0,True,MS4wLjABAAAAlNclKcL3ZfH2YxwFO6YQ11HfdAE8S-IDaKezjskeHdjRPW1tEKT6a9rJ_0P7pTdf,0.0,False,0.0,0.0,0.0,False
1087,5000000000281871272,04/30/21,"Backpack, Backpack!",Dora The Explorer,False,24,Dora The Explorer,0,217600,,,,,,,,,,,,
1088,6939057262023543557,04/30/21,origineel geluid,Sherell Martini,False,30,,0,1109,6.808825329080878e+18,sherellmartini,Sherell Martini,1585303544.0,True,MS4wLjABAAAApH0sd0GhARvmnvef43fEIZzQZ1FPMeVHxLNa7TlPuKr-SBbu61EpeRVBzIR9F6pK,0.0,False,0.0,0.0,0.0,False
1089,6947433331956927237,04/30/21,som original,Paulo Botther,False,58,,0,4,6.88140230652276e+18,bottcher5,Paulo Botther,1602201563.0,False,MS4wLjABAAAATve0G7Yi9uzRRzKhPz5cBueL096ooGI3PHu0s6p5EoWnLSE2QZwo44-FTBo0gn4B,0.0,False,0.0,0.0,0.0,False
1090,6855038614426880002,04/30/21,Whoopty,Real CJ,False,60,Whoopty,0,1200000,6.831953242684425e+18,realcj_,Real CJ,1596166792.0,True,MS4wLjABAAAAUMPwL3zQiBlAMT_HElR3vKFM_r-x4d_sawErmWjTxSdUoiqEXE9yn_ymf3jAGHYE,0.0,False,0.0,0.0,0.0,False
1091,6761234019066578946,04/30/21,Birds Chirping,Acerting Art,False,60,Bird Sounds Relaxation: Nature Sounds Music for Meditation,0,5200,,,,,,,,,,,,
