,soundID,date_run,followingCount,followerCount,heartCount,videoCount,diggCount,heart
6958511935318969605,6956939305335933701,05/04/21,66,212400,2200000,421,6888,2200000
6957172862180527365,6956939305335933701,05/04/21,2278,128500,460400,198,2529,460400
6957088716850580741,6956939305335933701,05/04/21,1,23100,339900,72,2559,339900
6957676438120058117,6956939305335933701,05/04/21,502,183900,4600000,1840,58900,4600000
6957764010146024709,6956939305335933701,05/04/21,308,94500,784100,446,9166,784100
6957341799677545733,6956939305335933701,05/04/21,15,18500,78900,22,110,78900
6957032417421053189,6956939305335933701,05/04/21,7383,22700,76900,192,26100,76900
6957015127707110662,6956939305335933701,05/04/21,30,33100,2000000,55,125,2000000
6957009411772665090,6956939305335933701,05/04/21,8,4473,14900,36,155,14900
6957004063191977221,6956939305335933701,05/04/21,947,178100,1300000,614,2795,1300000
6957700040701791493,6956939305335933701,05/04/21,8343,7554,110300,627,64200,110300
6958150349244992769,6956939305335933701,05/04/21,2494,3368,27500,550,29600,27500
6957006082200030469,6956939305335933701,05/04/21,664,21400,154000,1487,33400,154000
6957337432262036741,6956939305335933701,05/04/21,618,55900,886600,200,38400,886600
6956952713183743234,6956939305335933701,05/04/21,92,29200,412900,114,6393,412900
6957788705763396869,6956939305335933701,05/04/21,18,44800,399000,79,32,399000
6956942899992923398,6956939305335933701,05/04/21,4987,17400,72900,68,13600,72900
6957264134710873349,6956939305335933701,05/04/21,2,13700,49200,245,399,49200
6957750623169203461,6956939305335933701,05/04/21,9652,9643,31600,472,53300,31600
6956949561436867845,6956939305335933701,05/04/21,7319,151500,2200000,248,16900,2200000
6956992601140546818,6956939305335933701,05/04/21,9,416,67700,56,578,67700
6950775388972780805,6945541245435381761,05/04/21,125,24000000,1100000000,1355,4876,1100000000
6950359110005148933,6945541245435381761,05/04/21,63,4000000,548600000,4861,5231,548600000
6950414741948878085,6945541245435381761,05/04/21,13,263600,5000000,337,1409,5000000
6949846619697302789,6945541245435381761,05/04/21,419,486700,18600000,580,10500,18600000
6951344801916783873,6945541245435381761,05/04/21,95,227900,4500000,144,29100,4500000
6951856719349746946,6945541245435381761,05/04/21,114,1400000,30100000,408,79700,30100000
6950283855941094657,6945541245435381761,05/04/21,151,49000,737700,371,11000,737700
6951151625461419269,6945541245435381761,05/04/21,4,1100000,31100000,562,854,31100000
6952344898636942597,6945541245435381761,05/04/21,194,5900000,47200000,14,4521,47200000
6949690756219096325,6945541245435381761,05/04/21,304,46300,6200000,405,13100,6200000
6951498266664094978,6945541245435381761,05/04/21,654,109700,940000,71,3003,940000
6950173859429551366,6945541245435381761,05/04/21,458,5094,138600,55,40200,138600
6952470045238889730,6945541245435381761,05/04/21,189,349900,3600000,109,5068,3600000
6951813949104983301,6945541245435381761,05/04/21,244,936500,19400000,539,7548,19400000
6949923049705655558,6945541245435381761,05/04/21,223,2325,59000,44,14000,59000
6951446422566784258,6945541245435381761,05/04/21,500,362300,11500000,815,69800,11500000
6949975881112636678,6945541245435381761,05/04/21,3037,3819,77000,37,122800,77000
6954114323245534469,6945541245435381761,05/04/21,41,1200000,63000000,304,16800,63000000
6951408868845030661,6945541245435381761,05/04/21,85,73200,7600000,58,2948,7600000
6950322398629596421,6945541245435381761,05/04/21,2453,80000000,846700000,1420,6719,5100000000
6953160481582501125,6945541245435381761,05/04/21,31,87200,5500000,20,54,5500000
6946276889581407494,6945541245435381761,05/04/21,1240,215700,5500000,91,18500,5500000
6957661815920676101,6945541245435381761,05/04/21,48,57800,3400000,100,3408,3400000
6952734989599444229,6945541245435381761,05/04/21,941,1800000,49300000,204,54800,49300000
6950061421933726982,6945541245435381761,05/04/21,1208,114600000,655700000,1766,7402,9200000000
6956377944616881413,6945541245435381761,05/04/21,69,7400000,285300000,132,191,285300000
6952542538087632134,6945541245435381761,05/04/21,101,560400,14400000,510,926,14400000
6953719984199716101,6945541245435381761,05/04/21,79,83700,3200000,55,15700,3200000
6950591584438111493,6945541245435381761,05/04/21,71,10000000,198500000,526,1783,198500000
6950864180182371590,6945541245435381761,05/04/21,179,26200,2700000,138,21900,2700000
6952270695975931142,6945541245435381761,05/04/21,123,162600,5900000,34,3383,5900000
6953647348430032134,6945541245435381761,05/04/21,16,9340,2700000,13,120,2700000
6952219264723995909,6945541245435381761,05/04/21,0,255600,4200000,27,40,4200000
6947437460301303046,6945541245435381761,05/04/21,194,5900000,47200000,14,4521,47200000
6950006488521837830,6945541245435381761,05/04/21,36,5400000,243400000,660,3740,243400000
6951382947031305478,6945541245435381761,05/04/21,2661,1500000,18900000,157,3888,18900000
6952525822666280198,6945541245435381761,05/04/21,87,61900,2800000,77,53300,2800000
6950759751122734342,6945541245435381761,05/04/21,190,5107,1700000,74,10900,1700000
6951044045527338245,6945541245435381761,05/04/21,26,76900,2100000,23,154,2100000
6949280969056603397,6945541245435381761,05/04/21,3,290400,7900000,180,122,7900000
6954098549479017733,6945541245435381761,05/04/21,2536,12500000,574400000,735,23400,574400000
6952244182849195270,6945541245435381761,05/04/21,508,192700,4900000,566,10500,4900000
6955783104225152262,6945541245435381761,05/04/21,233,33300,1600000,46,106600,1600000
6955081225103019269,6945541245435381761,05/04/21,876,653800,29400000,234,6992,29400000
6951777991676546309,6945541245435381761,05/04/21,1026,20000000,242200000,333,12800,242200000
6953777536660720902,6945541245435381761,05/04/21,78,88300,2200000,70,1813,2200000
6951149061495934213,6945541245435381761,05/04/21,323,7780,1500000,44,19000,1500000
6955191218854808837,6945541245435381761,05/04/21,516,1100000,18400000,72,2971,18400000
6954060854908292358,6945541245435381761,05/04/21,44,365300,9000000,484,435,9000000
6950840549188439301,6945541245435381761,05/04/21,127,4391,1300000,42,3533,1300000
6840149596103068934,6840149587802475270,05/04/21,3499,728700,8700000,1128,5660,8700000
6934852255308893445,6840149587802475270,05/04/21,9,28900,409300,71,56,409300
6924015602814225670,6840149587802475270,05/04/21,70,67300,483200,33,73,483200
6936014204725972229,6840149587802475270,05/04/21,388,25300,904100,358,10600,904100
6933317983787896070,6840149587802475270,05/04/21,347,19400,579600,1206,1119,579600
6934102138050055429,6840149587802475270,05/04/21,9,28900,409300,71,56,409300
6855869626585287941,6840149587802475270,05/04/21,6,1643,7806,3,364,7806
6955871651523284229,6840149587802475270,05/04/21,493,4328,106100,302,6110,106100
6951161604763438342,6840149587802475270,05/04/21,66,643,5061,159,114,5061
6938423292457995525,6840149587802475270,05/04/21,70,67300,483200,33,73,483200
6935244470296268038,6840149587802475270,05/04/21,497,358,3501,90,670,3501
6863419976477330694,6840149587802475270,05/04/21,3375,4543,85500,1057,15400,85500
6927089170594696453,6840149587802475270,05/04/21,70,58400,372600,34,109,372600
6924458055878921477,6840149587802475270,05/04/21,70,67300,483200,33,73,483200
6882868869585734918,6840149587802475270,05/04/21,11,175900,2600000,361,1068,2600000
6948243556255501573,6840149587802475270,05/04/21,506,4363,37100,1472,4166,37100
6948068663219981573,6840149587802475270,05/04/21,1533,713,3739,158,3471,3739
6878729058612481281,6840149587802475270,05/04/21,14,233100,2500000,127,824,2500000
6946757328649604358,6840149587802475270,05/04/21,58,188,1248,35,1589,1248
6924726631621807366,6840149587802475270,05/04/21,8809,504100,4600000,2227,6981,4600000
6924740805890542854,6840149587802475270,05/04/21,147,465,2373,57,202,2373
6952329083103563014,6840149587802475270,05/04/21,281,26800,89000,131,733,89000
6937134064348581126,6840149587802475270,05/04/21,3,84200,3200000,55,216,3200000
6945200852785171718,6840149587802475270,05/04/21,9,28900,409300,71,56,409300
6957037784813079814,6840149587802475270,05/04/21,55,97,610,19,51,610
6925797135799618822,6840149587802475270,05/04/21,232,126,1320,13,3436,1320
6925281629434858758,6840149587802475270,05/04/21,6634,6616,21900,158,4709,21900
6935286257291414790,6840149587802475270,05/04/21,3711,23300,148300,461,12900,148300
6951888391961152773,6840149587802475270,05/04/21,57,61,366,3,120,366
6934742208914427142,6840149587802475270,05/04/21,2981,6253,61200,117,12400,61200
6937131223852518662,6840149587802475270,05/04/21,9035,10100,20900,216,16300,20900
6940436102587124997,6840149587802475270,05/04/21,3257,14900,78500,108,16500,78500
6924361045507165445,6840149587802475270,05/04/21,7016,47700,1000000,922,28400,1000000
6937013196112809222,6840149587802475270,05/04/21,5033,33700,452400,1751,11400,452400
6879900440511778049,6840149587802475270,05/04/21,56,5950,25500,195,175,25500
6949944136430554374,6840149587802475270,05/04/21,278,103,406,34,249,406
6923430722120224005,6840149587802475270,05/04/21,878,16000,148100,159,1245,148100
6924850271868800262,6840149587802475270,05/04/21,59,33,246,2,58,246
6933378480717499653,6840149587802475270,05/04/21,5,25100,432800,100,415,432800
6927909402884295942,6840149587802475270,05/04/21,107,115,676,22,1949,676
6948604659078647045,6840149587802475270,05/04/21,1923,2041,11600,113,12000,11600
6952116026913901829,6840149587802475270,05/04/21,490,16100,40100,31,9262,40100
6956740920050076933,6840149587802475270,05/04/21,95,78,336,94,187,336
6935573717829405957,6840149587802475270,05/04/21,88,289,4568,26,25300,4568
6958193024262262022,6840149587802475270,05/04/21,13,87900,1900000,505,597,1900000
6936949872776056069,6840149587802475270,05/04/21,8519,10100,61400,515,1970,61400
6936966984697384197,6840149587802475270,05/04/21,9594,11800,131400,116,6431,131400
